id;vlr_intermediario_ii
388740;R$104,27
388678;R$0,00
388680;R$0,00
388679;R$0,00
383064;R$47,24
388675;R$0,00
388676;R$0,00
388677;R$0,00
246125;R$59,63
246655;R$130,71
383208;R$130,71
383209;R$130,71
383034;R$133,49
379165;R$16,44
246658;R$80,91
246701;R$25,79
383179;R$33,41
383178;R$33,41
383177;R$33,41
246446;R$37,47
382910;R$44,27
387890;R$71,64
245457;R$44,27
246435;R$24,61
383173;R$56,90
383174;R$56,90
383171;R$56,90
383175;R$56,90
383106;R$108,60
383105;R$108,60
387885;R$81,63
246776;R$39,35
247015;R$37,45
387870;R$37,45
387871;R$37,45
246651;R$124,76
388624;R$39,14
387866;R$22,26
246473;R$23,43
388661;R$46,93
246835;R$49,27
246900;R$49,27
246807;R$49,27
246742;R$93,96
246994;R$93,96
246592;R$93,96
246839;R$49,27
246607;R$9,79
246859;R$9,79
247096;R$9,79
246800;R$9,79
246608;R$9,79
246647;R$9,79
247036;R$9,79
247041;R$9,79
246644;R$9,80
246777;R$9,53
247011;R$9,80
246943;R$12,07
246643;R$12,07
246893;R$9,80
246797;R$12,10
247078;R$6,50
246612;R$12,07
246824;R$12,07
247067;R$7,60
388023;R$35,93
383127;R$53,19
379188;R$31,25
379180;R$33,64
388567;R$109,83
383063;R$10,45
383047;R$34,67
383053;R$34,67
388025;R$46,73
383044;R$34,67
383197;R$19,78
382650;R$33,49
388024;R$29,70
247225;R$35,56
247267;R$38,17
247441;R$68,45
383212;R$68,45
383213;R$68,45
246434;R$63,04
246468;R$18,97
246505;R$104,30
247108;R$25,00
246440;R$22,19
246870;R$25,00
246812;R$25,00
383198;R$97,88
383116;R$33,12
383118;R$33,12
383117;R$33,12
383028;R$25,94
383027;R$25,94
383026;R$25,94
246443;R$36,61
246461;R$18,00
246460;R$15,00
383214;R$4,50
383216;R$0,00
383219;R$0,00
383215;R$0,00
383218;R$0,00
383217;R$0,00
247269;R$20,55
383110;R$258,39
383184;R$70,47
383185;R$70,47
383132;R$8,00
388833;R$8,00
383134;R$8,00
382283;R$8,00
383024;R$16,40
383059;R$23,53
383060;R$13,02
246489;R$58,14
388696;R$34,06
388697;R$34,06
244861;R$79,47
383191;R$52,07
246465;R$16,83
246841;R$11,50
247013;R$6,35
246511;R$6,35
246638;R$11,50
387554;R$10,55
388687;R$0,00
246427;R$24,90
247083;R$20,24
387551;R$55,00
246890;R$41,93
246600;R$31,10
246746;R$31,10
247001;R$31,10
388558;R$55,14
383356;R$49,92
245434;R$14,03
388552;R$105,64
247442;R$15,99
383176;R$79,93
245590;R$14,03
383102;R$16,90
388575;R$27,99
381257;R$35,56
388594;R$40,78
388595;R$40,78
388596;R$40,78
247276;R$40,78
383201;R$15,99
383200;R$15,99
246606;R$52,07
246462;R$53,51
246463;R$75,00
381584;R$41,00
388746;R$0,00
388745;R$0,00
388752;R$0,00
388742;R$0,00
388749;R$0,00
388748;R$0,00
247137;R$27,99
388574;R$27,99
388664;R$0,00
388734;R$0,00
